1,1 30 14 12 1
1,1 30 14 12 1
1,1 30 12 12 0
1,1 30 14 12 1
1,1 30 14 12 1
1,1 30 14 12 1
1,1 30 14 12 1
2,0 45 10 3 0
2,0 45 12 3 1
2,0 45 10 2 0
2,0 45 9 3 0
2,0 45 9 2 0
2,0 45 8 3 0
2,0 45 8 3 0
3,1 10 14 5 1
3,1 10 13 5 1
3,1 10 14 5 1
3,1 10 14 5 1
3,1 10 13 5 1
3,1 10 14 5 1
3,1 10 13 5 1
4,0 25 13 4 1
4,0 25 12 4 0
4,0 25 13 4 1
4,0 25 13 4 1
4,0 25 14 4 1
4,0 25 15 4 1
4,0 25 14 4 1
5,1 28 10 7 0
5,1 28 10 7 0
5,1 28 11 7 0
5,1 28 10 6 0
5,1 28 14 6 1
5,1 28 13 6 1
5,1 28 13 7 1
6,0 43 10 2 0
6,0 43 12 2 1
6,0 43 11 2 1
6,0 43 10 2 1
6,0 43 9 2 0
6,0 43 10 2 1
6,0 43 10 2 1
